0.png:[[[(684, 410), (732, 417)], (712, 411)], [[(809, 428), (853, 427)], (827, 420)]]
1.png:[[[(632, 416), (683, 417)], (662, 413)], [[(757, 420), (804, 418)], (780, 416)]]
10.png:[[[(608, 430), (656, 432)], (634, 427)], [[(734, 428), (778, 422)], (753, 420)]]
100.png:[[[(588, 433), (640, 429)], (619, 432)], [[(716, 427), (763, 422)], (742, 424)]]
101.png:[[[(594, 430), (641, 428)], (623, 429)], [[(717, 425), (759, 422)], (740, 423)]]
102.png:[[[(592, 431), (643, 429)], (621, 431)], [[(721, 426), (764, 419)], (745, 422)]]
103.png:[[[(590, 434), (643, 432)], (622, 432)], [[(719, 428), (766, 422)], (743, 424)]]
104.png:[[[(592, 435), (646, 433)], (624, 433)], [[(715, 431), (763, 426)], (741, 427)]]
105.png:[[[(592, 437), (640, 435)], (611, 437)], [[(712, 434), (765, 423)], (731, 426)]]
106.png:[[[(586, 438), (647, 435)], (612, 436)], [[(705, 430), (760, 425)], (728, 426)]]
107.png:[[[(587, 430), (638, 435)], (608, 432)], [[(712, 427), (755, 423)], (728, 422)]]
108.png:[[[(591, 428), (642, 430)], (629, 426)], [[(716, 425), (766, 419)], (743, 418)]]
109.png:[[[(592, 424), (643, 424)], (623, 418)], [[(714, 418), (765, 415)], (739, 410)]]
11.png:[[[(610, 432), (662, 431)], (635, 427)], [[(736, 430), (779, 423)], (751, 419)]]
110.png:[[[(590, 426), (642, 426)], (623, 424)], [[(715, 424), (764, 419)], (740, 414)]]
111.png:[[[(585, 428), (639, 428)], (613, 424)], [[(713, 423), (766, 417)], (732, 412)]]
112.png:[[[(591, 427), (635, 430)], (620, 427)], [[(709, 425), (760, 423)], (732, 421)]]
113.png:[[[(595, 431), (640, 431)], (622, 430)], [[(718, 427), (760, 423)], (739, 425)]]
114.png:[[[(587, 434), (638, 435)], (617, 434)], [[(708, 430), (761, 422)], (734, 424)]]
115.png:[[[(582, 436), (635, 432)], (611, 433)], [[(707, 432), (758, 425)], (729, 424)]]
116.png:[[[(593, 432), (640, 433)], (617, 428)], [[(713, 427), (764, 422)], (735, 420)]]
117.png:[[[(594, 428), (643, 430)], (621, 426)], [[(712, 429), (764, 423)], (737, 417)]]
118.png:[[[(596, 428), (648, 429)], (627, 422)], [[(718, 427), (766, 422)], (744, 415)]]
119.png:[[[(599, 424), (651, 427)], (632, 422)], [[(720, 421), (773, 420)], (749, 413)]]
12.png:[[[(594, 438), (642, 437)], (617, 435)], [[(716, 430), (762, 422)], (736, 421)]]
120.png:[[[(590, 424), (644, 429)], (620, 423)], [[(715, 419), (762, 418)], (737, 415)]]
121.png:[[[(595, 431), (643, 430)], (614, 426)], [[(715, 427), (765, 423)], (730, 418)]]
122.png:[[[(595, 433), (654, 433)], (625, 427)], [[(725, 429), (770, 427)], (741, 422)]]
123.png:[[[(605, 438), (649, 433)], (624, 434)], [[(722, 431), (772, 429)], (746, 430)]]
124.png:[[[(594, 436), (648, 437)], (626, 432)], [[(721, 432), (771, 426)], (742, 424)]]
125.png:[[[(584, 438), (638, 439)], (608, 436)], [[(708, 435), (760, 431)], (728, 427)]]
126.png:[[[(596, 437), (643, 437)], (621, 435)], [[(716, 434), (759, 427)], (738, 428)]]
127.png:[[[(599, 440), (651, 440)], (629, 436)], [[(725, 436), (773, 430)], (746, 428)]]
128.png:[[[(610, 436), (664, 437)], (646, 429)], [[(737, 431), (782, 430)], (763, 424)]]
129.png:[[[(618, 432), (669, 433)], (655, 427)], [[(743, 430), (785, 425)], (769, 424)]]
13.png:[[[(569, 443), (615, 443)], (595, 441)], [[(687, 431), (732, 424)], (705, 423)]]
130.png:[[[(622, 428), (668, 433)], (650, 423)], [[(746, 429), (784, 422)], (765, 418)]]
131.png:[[[(613, 434), (656, 435)], (633, 429)], [[(733, 430), (777, 424)], (750, 423)]]
132.png:[[[(582, 439), (630, 439)], (603, 437)], [[(702, 432), (750, 427)], (720, 425)]]
133.png:[[[(568, 442), (614, 441)], (593, 440)], [[(686, 435), (742, 427)], (709, 427)]]
134.png:[[[(556, 441), (600, 439)], (573, 429)], [[(669, 424), (722, 416)], (690, 409)]]
135.png:[[[(562, 440), (607, 438)], (584, 425)], [[(678, 422), (727, 417)], (705, 410)]]
136.png:[[[(590, 431), (634, 432)], (615, 418)], [[(713, 424), (756, 417)], (734, 407)]]
137.png:[[[(594, 426), (639, 427)], (618, 416)], [[(720, 420), (760, 414)], (738, 403)]]
138.png:[[[(602, 430), (646, 430)], (622, 416)], [[(722, 425), (763, 420)], (743, 409)]]
139.png:[[[(596, 431), (639, 432)], (610, 422)], [[(713, 423), (761, 422)], (725, 414)]]
14.png:[[[(567, 444), (616, 438)], (598, 437)], [[(687, 426), (731, 419)], (711, 419)]]
140.png:[[[(587, 433), (630, 435)], (600, 426)], [[(706, 427), (749, 420)], (719, 416)]]
141.png:[[[(579, 433), (619, 434)], (594, 427)], [[(697, 424), (745, 422)], (713, 415)]]
142.png:[[[(569, 434), (607, 430)], (583, 423)], [[(687, 423), (736, 419)], (703, 413)]]
143.png:[[[(560, 437), (602, 432)], (582, 422)], [[(680, 423), (726, 416)], (698, 409)]]
144.png:[[[(582, 425), (632, 429)], (612, 417)], [[(707, 421), (757, 415)], (732, 408)]]
145.png:[[[(599, 424), (646, 426)], (623, 421)], [[(719, 422), (761, 419)], (740, 411)]]
146.png:[[[(591, 430), (638, 429)], (616, 425)], [[(711, 428), (757, 423)], (732, 416)]]
147.png:[[[(585, 427), (629, 430)], (607, 423)], [[(702, 425), (749, 419)], (725, 413)]]
148.png:[[[(571, 429), (614, 434)], (592, 424)], [[(689, 427), (738, 423)], (709, 415)]]
149.png:[[[(564, 433), (608, 431)], (586, 422)], [[(683, 424), (731, 418)], (703, 411)]]
15.png:[[[(590, 433), (639, 433)], (621, 432)], [[(713, 429), (758, 422)], (737, 420)]]
150.png:[[[(582, 429), (623, 431)], (596, 425)], [[(699, 426), (744, 422)], (714, 417)]]
151.png:[[[(562, 429), (604, 429)], (579, 426)], [[(681, 427), (732, 421)], (695, 415)]]
152.png:[[[(557, 429), (605, 432)], (578, 422)], [[(680, 421), (728, 417)], (697, 410)]]
153.png:[[[(595, 423), (640, 427)], (619, 418)], [[(717, 423), (760, 416)], (738, 411)]]
154.png:[[[(600, 425), (647, 428)], (624, 417)], [[(722, 423), (767, 416)], (743, 411)]]
155.png:[[[(587, 431), (636, 429)], (609, 425)], [[(711, 427), (758, 420)], (729, 414)]]
156.png:[[[(580, 436), (622, 437)], (597, 427)], [[(700, 429), (743, 420)], (716, 417)]]
157.png:[[[(574, 437), (619, 438)], (594, 429)], [[(696, 430), (740, 423)], (713, 420)]]
158.png:[[[(603, 433), (645, 435)], (628, 428)], [[(726, 432), (767, 423)], (747, 420)]]
159.png:[[[(618, 431), (660, 435)], (641, 425)], [[(737, 430), (781, 424)], (758, 418)]]
16.png:[[[(623, 418), (666, 420)], (651, 415)], [[(742, 415), (787, 413)], (766, 410)]]
160.png:[[[(615, 430), (664, 435)], (638, 423)], [[(738, 428), (784, 427)], (759, 422)]]
161.png:[[[(608, 434), (655, 435)], (631, 428)], [[(732, 430), (780, 425)], (750, 417)]]
162.png:[[[(594, 435), (643, 435)], (620, 429)], [[(717, 428), (768, 428)], (739, 421)]]
163.png:[[[(569, 442), (622, 443)], (590, 433)], [[(696, 433), (740, 427)], (709, 421)]]
164.png:[[[(566, 445), (610, 444)], (584, 437)], [[(679, 435), (726, 430)], (701, 427)]]
165.png:[[[(649, 436), (690, 436)], (671, 428)], [[(766, 428), (806, 425)], (785, 423)]]
166.png:[[[(653, 435), (697, 436)], (678, 426)], [[(771, 436), (812, 428)], (796, 423)]]
167.png:[[[(654, 433), (700, 436)], (681, 428)], [[(775, 434), (817, 429)], (795, 424)]]
168.png:[[[(636, 435), (684, 436)], (664, 431)], [[(760, 435), (807, 427)], (779, 425)]]
169.png:[[[(594, 442), (642, 448)], (616, 440)], [[(722, 439), (767, 432)], (736, 430)]]
17.png:[[[(633, 414), (676, 411)], (658, 408)], [[(746, 412), (793, 411)], (772, 405)]]
170.png:[[[(569, 447), (607, 447)], (588, 446)], [[(682, 445), (737, 437)], (703, 437)]]
171.png:[[[(545, 453), (587, 458)], (563, 451)], [[(659, 451), (712, 440)], (680, 436)]]
172.png:[[[(603, 454), (650, 455)], (632, 452)], [[(728, 446), (772, 437)], (752, 439)]]
173.png:[[[(658, 445), (703, 446)], (689, 438)], [[(783, 444), (817, 440)], (800, 435)]]
174.png:[[[(689, 440), (735, 443)], (718, 440)], [[(799, 446), (843, 442)], (823, 440)]]
175.png:[[[(675, 443), (719, 449)], (701, 440)], [[(792, 455), (840, 444)], (811, 440)]]
176.png:[[[(656, 443), (709, 450)], (685, 439)], [[(780, 449), (826, 445)], (805, 438)]]
177.png:[[[(645, 445), (692, 447)], (671, 439)], [[(767, 448), (812, 443)], (790, 440)]]
178.png:[[[(628, 443), (673, 449)], (648, 439)], [[(753, 449), (791, 446)], (765, 442)]]
179.png:[[[(614, 449), (655, 446)], (635, 448)], [[(737, 444), (782, 443)], (759, 446)]]
18.png:[[[(614, 418), (665, 421)], (631, 411)], [[(734, 414), (779, 412)], (748, 405)]]
180.png:[[[(611, 445), (662, 448)], (645, 441)], [[(742, 444), (782, 443)], (763, 438)]]
181.png:[[[(609, 450), (658, 449)], (637, 451)], [[(737, 444), (777, 445)], (758, 448)]]
182.png:[[[(585, 449), (634, 451)], (607, 441)], [[(710, 444), (758, 440)], (727, 435)]]
183.png:[[[(581, 445), (626, 449)], (601, 441)], [[(700, 441), (745, 435)], (719, 432)]]
184.png:[[[(601, 444), (646, 448)], (629, 445)], [[(718, 441), (763, 436)], (749, 436)]]
185.png:[[[(625, 443), (669, 446)], (658, 440)], [[(751, 441), (788, 434)], (773, 434)]]
186.png:[[[(640, 443), (684, 446)], (670, 440)], [[(763, 440), (799, 436)], (784, 435)]]
187.png:[[[(633, 443), (683, 446)], (662, 437)], [[(759, 439), (801, 434)], (778, 434)]]
188.png:[[[(618, 446), (670, 447)], (642, 443)], [[(745, 449), (790, 437)], (763, 439)]]
189.png:[[[(610, 449), (655, 447)], (633, 445)], [[(737, 447), (776, 440)], (755, 439)]]
19.png:[[[(605, 424), (653, 421)], (631, 420)], [[(726, 414), (770, 415)], (750, 414)]]
190.png:[[[(591, 447), (642, 449)], (620, 445)], [[(722, 445), (770, 439)], (742, 438)]]
191.png:[[[(574, 449), (623, 449)], (600, 445)], [[(699, 442), (747, 434)], (719, 434)]]
192.png:[[[(559, 448), (602, 447)], (577, 445)], [[(679, 444), (731, 436)], (697, 434)]]
193.png:[[[(536, 445), (580, 446)], (556, 443)], [[(650, 437), (700, 431)], (664, 430)]]
194.png:[[[(557, 446), (593, 446)], (575, 445)], [[(663, 433), (715, 430)], (691, 427)]]
195.png:[[[(592, 450), (642, 448)], (629, 443)], [[(720, 437), (760, 432)], (747, 432)]]
196.png:[[[(620, 448), (672, 449)], (655, 444)], [[(744, 440), (786, 434)], (771, 432)]]
197.png:[[[(627, 448), (673, 447)], (658, 445)], [[(749, 435), (788, 434)], (771, 433)]]
198.png:[[[(631, 446), (678, 447)], (663, 439)], [[(756, 436), (795, 431)], (779, 429)]]
199.png:[[[(626, 443), (667, 441)], (651, 438)], [[(748, 438), (787, 429)], (771, 429)]]
2.png:[[[(597, 417), (645, 422)], (628, 417)], [[(722, 416), (761, 411)], (740, 410)]]
20.png:[[[(600, 421), (647, 421)], (625, 419)], [[(720, 417), (769, 416)], (737, 411)]]
200.png:[[[(601, 445), (644, 445)], (621, 442)], [[(726, 436), (766, 433)], (738, 429)]]
201.png:[[[(577, 445), (617, 446)], (593, 441)], [[(697, 439), (737, 434)], (710, 428)]]
202.png:[[[(542, 447), (580, 447)], (560, 444)], [[(656, 439), (708, 431)], (671, 430)]]
203.png:[[[(537, 450), (574, 450)], (553, 447)], [[(648, 438), (696, 433)], (661, 432)]]
204.png:[[[(536, 450), (573, 453)], (552, 450)], [[(643, 439), (685, 431)], (662, 435)]]
205.png:[[[(550, 454), (592, 452)], (579, 452)], [[(671, 446), (721, 435)], (696, 437)]]
206.png:[[[(568, 457), (620, 452)], (596, 449)], [[(696, 444), (744, 440)], (719, 438)]]
207.png:[[[(593, 449), (643, 449)], (627, 449)], [[(724, 444), (768, 437)], (749, 435)]]
208.png:[[[(635, 445), (682, 449)], (666, 447)], [[(755, 440), (796, 437)], (781, 436)]]
209.png:[[[(652, 447), (698, 445)], (682, 443)], [[(775, 440), (805, 434)], (795, 436)]]
21.png:[[[(602, 427), (644, 427)], (625, 421)], [[(718, 421), (763, 417)], (743, 414)]]
210.png:[[[(658, 444), (705, 446)], (696, 440)], [[(781, 437), (817, 435)], (803, 434)]]
211.png:[[[(646, 441), (688, 442)], (676, 438)], [[(767, 438), (808, 433)], (791, 430)]]
212.png:[[[(605, 447), (644, 448)], (632, 445)], [[(726, 446), (771, 441)], (755, 438)]]
213.png:[[[(591, 453), (633, 453)], (608, 452)], [[(715, 447), (756, 443)], (729, 441)]]
214.png:[[[(567, 457), (608, 458)], (583, 454)], [[(689, 452), (738, 442)], (702, 444)]]
215.png:[[[(558, 468), (603, 467)], (580, 464)], [[(681, 457), (729, 448)], (700, 450)]]
216.png:[[[(556, 470), (599, 467)], (571, 467)], [[(677, 458), (720, 451)], (689, 455)]]
217.png:[[[(536, 469), (572, 467)], (551, 465)], [[(651, 457), (699, 451)], (665, 454)]]
218.png:[[[(537, 468), (573, 462)], (553, 463)], [[(646, 458), (695, 451)], (664, 454)]]
219.png:[[[(535, 464), (570, 464)], (548, 464)], [[(642, 460), (691, 453)], (659, 453)]]
22.png:[[[(599, 425), (648, 426)], (627, 423)], [[(724, 423), (761, 418)], (745, 415)]]
220.png:[[[(544, 471), (588, 463)], (563, 473)], [[(661, 456), (712, 453)], (687, 462)]]
221.png:[[[(599, 460), (641, 463)], (621, 460)], [[(722, 457), (763, 445)], (742, 449)]]
222.png:[[[(615, 461), (655, 465)], (645, 460)], [[(739, 459), (778, 447)], (765, 447)]]
223.png:[[[(598, 466), (642, 474)], (618, 464)], [[(727, 462), (772, 458)], (738, 455)]]
224.png:[[[(563, 472), (600, 473)], (588, 469)], [[(688, 467), (729, 460)], (710, 459)]]
225.png:[[[(539, 476), (571, 477)], (554, 476)], [[(659, 474), (706, 466)], (672, 469)]]
226.png:[[[(529, 480), (560, 483)], (543, 484)], [[(645, 486), (691, 477)], (657, 479)]]
227.png:[[[(549, 487), (587, 487)], (577, 488)], [[(671, 488), (715, 473)], (692, 481)]]
228.png:[[[(632, 481), (679, 481)], (666, 480)], [[(757, 476), (802, 464)], (781, 469)]]
229.png:[[[(609, 479), (657, 482)], (638, 478)], [[(738, 474), (777, 465)], (753, 471)]]
23.png:[[[(594, 431), (646, 427)], (622, 421)], [[(719, 421), (758, 418)], (734, 416)]]
230.png:[[[(591, 470), (627, 471)], (608, 476)], [[(715, 473), (767, 463)], (734, 468)]]
231.png:[[[(582, 470), (619, 472)], (599, 471)], [[(709, 473), (752, 467)], (723, 467)]]
232.png:[[[(560, 463), (602, 469)], (577, 465)], [[(681, 466), (729, 455)], (697, 455)]]
233.png:[[[(558, 461), (598, 464)], (580, 457)], [[(681, 458), (722, 449)], (704, 450)]]
234.png:[[[(576, 463), (620, 464)], (602, 459)], [[(706, 453), (743, 448)], (721, 447)]]
235.png:[[[(603, 461), (648, 461)], (635, 455)], [[(732, 452), (770, 445)], (757, 445)]]
236.png:[[[(619, 460), (667, 460)], (650, 453)], [[(744, 448), (780, 444)], (766, 441)]]
237.png:[[[(639, 453), (681, 451)], (669, 447)], [[(762, 445), (799, 438)], (786, 436)]]
238.png:[[[(635, 427), (681, 427)], (658, 417)], [[(763, 420), (804, 420)], (772, 412)]]
239.png:[[[(626, 417), (671, 417)], (646, 408)], [[(746, 412), (786, 412)], (765, 404)]]
24.png:[[[(597, 426), (640, 425)], (620, 421)], [[(717, 416), (759, 416)], (731, 414)]]
240.png:[[[(601, 418), (645, 415)], (618, 409)], [[(722, 409), (764, 407)], (737, 401)]]
241.png:[[[(583, 407), (624, 405)], (601, 402)], [[(699, 399), (741, 395)], (716, 390)]]
242.png:[[[(571, 405), (607, 403)], (586, 401)], [[(681, 395), (720, 391)], (696, 386)]]
243.png:[[[(604, 421), (647, 422)], (627, 419)], [[(720, 414), (760, 410)], (743, 408)]]
244.png:[[[(605, 423), (645, 423)], (628, 418)], [[(722, 414), (763, 409)], (745, 406)]]
245.png:[[[(596, 429), (639, 425)], (616, 422)], [[(714, 421), (753, 410)], (730, 410)]]
246.png:[[[(567, 433), (613, 431)], (589, 426)], [[(685, 423), (736, 413)], (707, 412)]]
247.png:[[[(557, 446), (596, 442)], (575, 439)], [[(666, 430), (715, 422)], (691, 423)]]
248.png:[[[(570, 456), (608, 453)], (595, 449)], [[(688, 442), (724, 433)], (713, 434)]]
249.png:[[[(603, 459), (646, 459)], (630, 452)], [[(734, 441), (768, 434)], (753, 434)]]
25.png:[[[(589, 427), (634, 427)], (611, 424)], [[(708, 424), (757, 414)], (728, 414)]]
250.png:[[[(616, 458), (668, 455)], (648, 451)], [[(744, 445), (783, 436)], (765, 437)]]
251.png:[[[(606, 454), (656, 455)], (634, 448)], [[(736, 443), (775, 439)], (755, 438)]]
252.png:[[[(578, 451), (626, 452)], (600, 450)], [[(707, 444), (747, 433)], (722, 436)]]
253.png:[[[(533, 458), (572, 457)], (554, 454)], [[(649, 448), (693, 435)], (670, 436)]]
254.png:[[[(510, 461), (552, 464)], (533, 461)], [[(630, 443), (681, 431)], (648, 435)]]
255.png:[[[(596, 426), (646, 426)], (618, 421)], [[(722, 418), (760, 414)], (734, 412)]]
256.png:[[[(625, 423), (674, 424)], (649, 419)], [[(748, 424), (784, 423)], (761, 418)]]
257.png:[[[(635, 420), (679, 424)], (659, 419)], [[(755, 429), (795, 431)], (772, 425)]]
258.png:[[[(632, 415), (672, 420)], (654, 412)], [[(753, 425), (795, 429)], (770, 421)]]
259.png:[[[(632, 408), (670, 412)], (655, 403)], [[(749, 420), (795, 424)], (770, 415)]]
26.png:[[[(586, 431), (635, 431)], (616, 430)], [[(712, 420), (751, 417)], (735, 419)]]
260.png:[[[(698, 424), (747, 430)], (725, 432)], [[(818, 443), (854, 455)], (836, 452)]]
261.png:[[[(619, 440), (669, 443)], (638, 438)], [[(748, 448), (799, 449)], (760, 443)]]
